kmer	event_sum	flk_behaviour	my0_intactk_sum	my1_intactk_sum	otherk	my0_otherk_sum	my1_otherk_sum	event
kmer74	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844254 1870953 1901868 1975083 2152893 2401274  | StartL_sd: 152235  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361162 1850087 1884322 1982051 2204402 2292554  | StartL_sd: 172206  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807947 2131432 2132485 2110614 2133526 2323013  | StartL_sd: 89705  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313543 314595 315643 315335 315644 316703	StartL_stat: 1907119 1907119 1907119 1907119 1907119 1907119  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300463 300463 300463 300463 300463 300463	inversion
kmer73	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844338 1871037 1901952 1975120 2152809 2401358  | StartL_sd: 152168  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361078 1850171 1884406 1982073 2204318 2292470  | StartL_sd: 172132  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808031 2131348 2132401 2110545 2133442 2322929  | StartL_sd: 89660  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313459 314511 315559 315251 315560 316619	StartL_stat: 1907203 1907203 1907203 1907203 1907203 1907203  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300379 300379 300379 300379 300379 300379	inversion
kmer71	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842058 1868758 1899672 1974264 2155089 2399078  | StartL_sd: 153525  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363358 1847891 1882126 1981199 2206598 2294750  | StartL_sd: 174218  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807813 1816731 1816773 1849522 1817804 2297904  | StartL_sd: 97005  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313502 314554 315602 315294 315603 316662	StartL_stat: 2207674 2207674 2207674 2207674 2207674 2207674  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300422 300422 300422 300422 300422 300422	inversion
kmer69	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842053 1868753 1899667 1974262 2155094 2399073  | StartL_sd: 153529  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363363 1847886 1882122 1981197 2206603 2294755  | StartL_sd: 174222  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807808 1816726 1816768 1849518 1817800 2297909  | StartL_sd: 97008  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313507 314559 315607 315299 315608 316667	StartL_stat: 2207679 2207679 2207679 2207679 2207679 2207679  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300427 300427 300427 300427 300427 300427	inversion
kmer68	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1841996 1868696 1899610 1974237 2155151 2399016  | StartL_sd: 153575  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363420 1847829 1882064 1981183 2206660 2294812  | StartL_sd: 174273  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807751 1816669 1816711 1849471 1817742 2297966  | StartL_sd: 97039  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313564 314616 315664 315356 315665 316724	StartL_stat: 2207736 2207736 2207736 2207736 2207736 2207736  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300484 300484 300484 300484 300484 300484	inversion
kmer67	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842098 1868798 1899712 1974282 2155049 2399118  | StartL_sd: 153493  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363318 1847931 1882166 1981209 2206558 2294710  | StartL_sd: 174183  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807853 1816771 1816813 1849555 1817844 2297864  | StartL_sd: 96984  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313462 314514 315562 315254 315563 316622	StartL_stat: 2207634 2207634 2207634 2207634 2207634 2207634  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300382 300382 300382 300382 300382 300382	inversion
kmer66	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842050 1868750 1899664 1974260 2155097 2399070  | StartL_sd: 153532  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363366 1847883 1882118 1981197 2206606 2294758  | StartL_sd: 174225  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807805 1816723 1816765 1849516 1817796 2297912  | StartL_sd: 97009  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313510 314562 315610 315302 315611 316670	StartL_stat: 2207682 2207682 2207682 2207682 2207682 2207682  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300430 300430 300430 300430 300430 300430	inversion
kmer65	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842046 1868746 1899660 1974259 2155101 2399066  | StartL_sd: 153535  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363370 1847879 1882114 1981196 2206610 2294762  | StartL_sd: 174229  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807801 1816719 1816761 1849512 1817792 2297916  | StartL_sd: 97012  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313514 314566 315614 315306 315615 316674	StartL_stat: 2207686 2207686 2207686 2207686 2207686 2207686  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300434 300434 300434 300434 300434 300434	inversion
kmer63	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844269 1870968 1901883 1975090 2152878 2401289  | StartL_sd: 152223  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361147 1850102 1884338 1982055 2204387 2292539  | StartL_sd: 172193  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807962 2131418 2132470 2110602 2133512 2322998  | StartL_sd: 89697  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313528 314580 315628 315320 315629 316688	StartL_stat: 1907134 1907134 1907134 1907134 1907134 1907134  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300448 300448 300448 300448 300448 300448	inversion
kmer62	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844317 1871016 1901931 1975111 2152830 2401337  | StartL_sd: 152185  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361099 1850150 1884386 1982067 2204339 2292491  | StartL_sd: 172150  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808010 2131370 2132422 2110562 2133464 2322950  | StartL_sd: 89671  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313480 314532 315580 315272 315581 316640	StartL_stat: 1907182 1907182 1907182 1907182 1907182 1907182  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300400 300400 300400 300400 300400 300400	inversion
kmer61	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844356 1871055 1901970 1975128 2152791 2401376  | StartL_sd: 152154  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361060 1850189 1884424 1982077 2204300 2292452  | StartL_sd: 172116  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808049 2131330 2132383 2110530 2133424 2322911  | StartL_sd: 89650  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313441 314493 315541 315233 315542 316601	StartL_stat: 1907221 1907221 1907221 1907221 1907221 1907221  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300361 300361 300361 300361 300361 300361	inversion
kmer60	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842102 1868802 1899716 1974283 2155045 2399122  | StartL_sd: 153490  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363314 1847935 1882170 1981210 2206554 2294706  | StartL_sd: 174179  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807857 1816775 1816817 1849559 1817848 2297860  | StartL_sd: 96981  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313458 314510 315558 315250 315559 316618	StartL_stat: 2207630 2207630 2207630 2207630 2207630 2207630  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300378 300378 300378 300378 300378 300378	inversion
kmer58	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842007 1868707 1899621 1974242 2155140 2399027  | StartL_sd: 153566  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363409 1847840 1882076 1981186 2206649 2294801  | StartL_sd: 174263  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807762 1816680 1816722 1849480 1817754 2297955  | StartL_sd: 97033  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313553 314605 315653 315345 315654 316713	StartL_stat: 2207725 2207725 2207725 2207725 2207725 2207725  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300473 300473 300473 300473 300473 300473	inversion
kmer56	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844334 1871033 1901948 1975118 2152813 2401354  | StartL_sd: 152171  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361082 1850167 1884402 1982072 2204322 2292474  | StartL_sd: 172135  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808027 2131352 2132405 2110548 2133446 2322933  | StartL_sd: 89662  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313463 314515 315563 315255 315564 316623	StartL_stat: 1907199 1907199 1907199 1907199 1907199 1907199  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300383 300383 300383 300383 300383 300383	inversion
kmer55	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842026 1868726 1899640 1974250 2155121 2399046  | StartL_sd: 153551  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363390 1847859 1882094 1981190 2206630 2294782  | StartL_sd: 174246  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807781 1816699 1816741 1849496 1817772 2297936  | StartL_sd: 97022  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313534 314586 315634 315326 315635 316694	StartL_stat: 2207706 2207706 2207706 2207706 2207706 2207706  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300454 300454 300454 300454 300454 300454	inversion
kmer53	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844307 1871006 1901921 1975106 2152840 2401327  | StartL_sd: 152193  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361109 1850140 1884376 1982065 2204349 2292501  | StartL_sd: 172159  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808000 2131380 2132432 2110571 2133474 2322960  | StartL_sd: 89676  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313490 314542 315590 315282 315591 316650	StartL_stat: 1907172 1907172 1907172 1907172 1907172 1907172  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300410 300410 300410 300410 300410 300410	inversion
kmer52	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842117 1868817 1899731 1974290 2155030 2399137  | StartL_sd: 153478  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363299 1847950 1882186 1981214 2206539 2294691  | StartL_sd: 174166  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807872 1816790 1816832 1849571 1817864 2297845  | StartL_sd: 96973  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313443 314495 315543 315235 315544 316603	StartL_stat: 2207615 2207615 2207615 2207615 2207615 2207615  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300363 300363 300363 300363 300363 300363	inversion
kmer51	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842093 1868793 1899707 1974279 2155054 2399113  | StartL_sd: 153497  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363323 1847926 1882162 1981208 2206563 2294715  | StartL_sd: 174187  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807848 1816766 1816808 1849551 1817840 2297869  | StartL_sd: 96986  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313467 314519 315567 315259 315568 316627	StartL_stat: 2207639 2207639 2207639 2207639 2207639 2207639  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300387 300387 300387 300387 300387 300387	inversion
kmer5	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844301 1871000 1901915 1975104 2152846 2401321  | StartL_sd: 152198  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361115 1850134 1884370 1982063 2204355 2292507  | StartL_sd: 172165  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807994 2131386 2132438 2110576 2133480 2322966  | StartL_sd: 89679  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313496 314548 315596 315288 315597 316656	StartL_stat: 1907166 1907166 1907166 1907166 1907166 1907166  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300416 300416 300416 300416 300416 300416	inversion
kmer49	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844253 1870952 1901867 1975083 2152894 2401273  | StartL_sd: 152236  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361163 1850086 1884322 1982051 2204403 2292555  | StartL_sd: 172207  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807946 2131434 2132486 2110615 2133528 2323014  | StartL_sd: 89705  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313544 314596 315644 315336 315645 316704	StartL_stat: 1907118 1907118 1907118 1907118 1907118 1907118  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300464 300464 300464 300464 300464 300464	inversion
kmer48	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844350 1871049 1901964 1975125 2152797 2401370  | StartL_sd: 152159  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361066 1850183 1884418 1982076 2204306 2292458  | StartL_sd: 172121  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808043 2131336 2132389 2110535 2133430 2322917  | StartL_sd: 89653  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313447 314499 315547 315239 315548 316607	StartL_stat: 1907215 1907215 1907215 1907215 1907215 1907215  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300367 300367 300367 300367 300367 300367	inversion
kmer47	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842086 1868786 1899700 1974276 2155061 2399106  | StartL_sd: 153503  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363330 1847919 1882154 1981206 2206570 2294722  | StartL_sd: 174193  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807841 1816759 1816801 1849546 1817832 2297876  | StartL_sd: 96990  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313474 314526 315574 315266 315575 316634	StartL_stat: 2207646 2207646 2207646 2207646 2207646 2207646  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300394 300394 300394 300394 300394 300394	inversion
kmer46	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844337 1871036 1901951 1975119 2152810 2401357  | StartL_sd: 152169  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361079 1850170 1884406 1982073 2204319 2292471  | StartL_sd: 172133  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808030 2131350 2132402 2110546 2133444 2322930  | StartL_sd: 89660  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313460 314512 315560 315252 315561 316620	StartL_stat: 1907202 1907202 1907202 1907202 1907202 1907202  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300380 300380 300380 300380 300380 300380	inversion
kmer45	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1842048 1868748 1899662 1974260 2155099 2399068  | StartL_sd: 153533  | StartR_stat: 1844204 1870903 1901818 1975061 2152943 2401224  | StartR_sd: 152275  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1363368 1847881 1882116 1981196 2206608 2294760  | StartL_sd: 174227  | StartR_stat: 1361212 1850037 1884272 1982038 2204452 2292604  | StartR_sd: 172250  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1807803 1816721 1816763 1849514 1817794 2297914  | StartL_sd: 97011  | StartR_stat: 1807897 2131482 2132535 2110656 2133576 2323063  | StartR_sd: 89731  | flk_dist_stat: 313512 314564 315612 315304 315613 316672	StartL_stat: 2207684 2207684 2207684 2207684 2207684 2207684  | StartL_sd: NA  | StartR_stat: 1907069 1907069 1907069 1907069 1907069 1907069  | StartR_sd: NA  | flk_dist_stat: 300432 300432 300432 300432 300432 300432	inversion
kmer42	intact_k:mv&flp	 intact_k:164/165(0.99):164/303(0.54) mv&flp:1/165(0.01):139/303(0.46)	StartL_stat: 1844353 1871052 1901967 1975126 2152794 2401373  | StartL_sd: 152156  | StartR_stat: 1842150 1868850 1899764 1974304 2154997 2399170  | StartR_sd: 153452  | flk_dist_stat: 2052 2054 2054 2489 2054 25849	StartL_stat: 1361063 1850186 1884422 1982077 2204303 2292455  | StartL_sd: 172119  | StartR_stat: 1363266 1847983 1882218 1981222 2206506 2294658  | StartR_sd: 174137  | flk_dist_stat: 2053 2054 2054 2344 2054 25849	mv&flp	StartL_stat: 1808046 2131334 2132386 2110533 2133428 2322914  | StartL_sd: 89652  | StartR_stat: 1807905 1816823 1816865 1849598 1817896 2297812  | StartR_sd: 96956  | flk_dist_stat: 313444 314496 315544 315236 315545 316604	StartL_stat: 1907218 1907218 1907218 1907218 1907218 1907218  | StartL_sd: NA  | StartR_stat: 2207582 2207582 2207582 2207582 2207582 2207582  | StartR_sd: NA  | flk_dist_stat: 300364 300364 300364 300364 300364 300364	inversion
