genome	case_control	kmer	StartL	EndL	StartR	EndR	mybehave	intactk_orien	flk_dist
I069	0	kmer99	1899707	1899769	1901823	1901944	intact_k	intactk_fwd	2054
I072	0	kmer99	1901771	1901833	1903886	1904007	intact_k	intactk_fwd	2053
I080	0	kmer99	1901792	1901854	1903908	1904029	intact_k	intactk_fwd	2054
I089	0	kmer99	1904943	1905005	1907059	1907180	intact_k	intactk_fwd	2054
I106	0	kmer99	1898654	1898716	1900770	1900891	intact_k	intactk_fwd	2054
I110	1	kmer99	1848973	1849035	1851089	1851210	intact_k	intactk_fwd	2054
I111	0	kmer99	1815736	1815798	2131492	2131371	mv&flp	NA	315573
I112	0	kmer99	1815737	1815799	2131493	2131372	mv&flp	NA	315573
I113	1	kmer99	2205519	2205457	2203403	2203282	intact_k	intactk_rev	2054
I120	0	kmer99	1898661	1898723	1900777	1900898	intact_k	intactk_fwd	2054
I127	0	kmer99	2153741	2153679	2151625	2151504	intact_k	intactk_rev	2054
I136	1	kmer99	2153763	2153701	2151647	2151526	intact_k	intactk_rev	2054
I150	0	kmer99	1815734	1815796	2131490	2131369	mv&flp	NA	315573
I182	0	kmer99	1902855	1902917	1904971	1905092	intact_k	intactk_fwd	2054
I187	0	kmer99	1868794	1868856	1870910	1871031	intact_k	intactk_fwd	2054
I188	1	kmer99	1901709	1901771	1903825	1903946	intact_k	intactk_fwd	2054
I223	1	kmer99	1851025	1851087	1853141	1853262	intact_k	intactk_fwd	2054
I228	0	kmer99	2155863	2155801	2153747	2153626	intact_k	intactk_rev	2054
I238	1	kmer99	2207909	2207847	2205793	2205672	intact_k	intactk_rev	2054
I257	0	kmer99	2294713	2294651	2292597	2292476	intact_k	intactk_rev	2054
I259	0	kmer99	1899703	1899765	1901819	1901940	intact_k	intactk_fwd	2054
I263	0	kmer99	2294716	2294654	2292600	2292479	intact_k	intactk_rev	2054
I270	0	kmer99	2293679	2293617	2291563	2291442	intact_k	intactk_rev	2054
I271	1	kmer99	2210775	2210713	2208659	2208538	intact_k	intactk_rev	2054
I273	0	kmer99	1901639	1901701	1903755	1903876	intact_k	intactk_fwd	2054
I289	1	kmer99	1900747	1900809	1902863	1902984	intact_k	intactk_fwd	2054
I318	0	kmer99	1816787	1816849	2132543	2132422	mv&flp	NA	315573
I323	0	kmer99	1814679	1814741	2131484	2131363	mv&flp	NA	316622
I331	1	kmer99	2174523	2174461	2172407	2172286	intact_k	intactk_rev	2054
I344	0	kmer99	2247311	2247373	2273221	2273342	intact_k	intactk_fwd	25848
I350	0	kmer99	1815738	1815800	2131494	2131373	mv&flp	NA	315573
I351	1	kmer99	2208963	2208901	2206847	2206726	intact_k	intactk_rev	2054
I372	0	kmer99	1845775	1845837	1847891	1848012	intact_k	intactk_fwd	2054
I373	0	kmer99	1868245	1868307	1870361	1870482	intact_k	intactk_fwd	2054
I375	1	kmer99	1851065	1851127	1853181	1853302	intact_k	intactk_fwd	2054
I379	0	kmer99	1815744	1815806	2131500	2131379	mv&flp	NA	315573
I382	0	kmer99	1818809	1818871	2134565	2134444	mv&flp	NA	315573
I385	0	kmer99	1816803	1816865	2132565	2132444	mv&flp	NA	315579
I386	0	kmer99	1847942	1848004	1850058	1850179	intact_k	intactk_fwd	2054
I387	0	kmer99	1816785	1816847	2132547	2132426	mv&flp	NA	315579
I420	1	kmer99	1902836	1902898	1904952	1905073	intact_k	intactk_fwd	2054
I439	0	kmer99	2124712	2124650	1808958	1809079	mv&flp	NA	315571
I452	0	kmer99	1901802	1901864	1903918	1904039	intact_k	intactk_fwd	2054
I461	0	kmer99	1816808	1816870	2132564	2132443	mv&flp	NA	315573
I462	0	kmer99	1869834	1869896	1871950	1872071	intact_k	intactk_fwd	2054
I464	0	kmer99	1816784	1816846	2132540	2132419	mv&flp	NA	315573
I468	0	kmer99	1899703	1899765	1901819	1901940	intact_k	intactk_fwd	2054
I476	0	kmer99	2123661	2123599	1808954	1809075	mv&flp	NA	314524
I480	1	kmer99	1817836	1817898	1819952	1820073	intact_k	intactk_fwd	2054
I483	0	kmer99	1818886	1818948	2133593	2133472	mv&flp	NA	314524
I496	0	kmer99	2123665	2123603	1808958	1809079	mv&flp	NA	314524
I498	0	kmer99	1868791	1868853	1870907	1871028	intact_k	intactk_fwd	2054
I518	0	kmer99	1899703	1899765	1901819	1901940	intact_k	intactk_fwd	2054
I521	0	kmer99	1817834	1817896	2132541	2132420	mv&flp	NA	314524
I538	1	kmer99	1899980	1900042	1902096	1902217	intact_k	intactk_fwd	2054
I539	1	kmer99	1899979	1900041	1902095	1902216	intact_k	intactk_fwd	2054
I598	1	kmer99	2208955	2208893	2206839	2206718	intact_k	intactk_rev	2054
I602	0	kmer99	1817835	1817897	2133591	2133470	mv&flp	NA	315573
I623	0	kmer99	1899688	1899750	1901804	1901925	intact_k	intactk_fwd	2054
I646	1	kmer99	1792487	1792549	1794603	1794724	intact_k	intactk_fwd	2054
I656	1	kmer99	2206580	2206518	2204464	2204343	intact_k	intactk_rev	2054
I669	1	kmer99	1848091	1848153	1850207	1850328	intact_k	intactk_fwd	2054
I692	0	kmer99	1899701	1899763	1901817	1901938	intact_k	intactk_fwd	2054
I705	0	kmer99	1899700	1899762	1901816	1901937	intact_k	intactk_fwd	2054
I707	1	kmer99	1363328	1363266	1361212	1361091	intact_k	intactk_rev	2054
I728	0	kmer99	1845777	1845839	1847893	1848014	intact_k	intactk_fwd	2054
I735	0	kmer99	1815732	1815794	2131497	2131376	mv&flp	NA	315582
I743	0	kmer99	2302258	2302196	2300142	2300021	intact_k	intactk_rev	2054
I751	1	kmer99	1850025	1850087	1852141	1852262	intact_k	intactk_fwd	2054
I752	1	kmer99	1902433	1902495	1904549	1904670	intact_k	intactk_fwd	2054
I754	0	kmer99	1819575	1819637	2135331	2135210	mv&flp	NA	315573
I755	0	kmer99	2156912	2156850	2154796	2154675	intact_k	intactk_rev	2054
I762	0	kmer99	1901798	1901860	1903914	1904035	intact_k	intactk_fwd	2054
I763	0	kmer99	1900749	1900811	1902865	1902986	intact_k	intactk_fwd	2054
I859	0	kmer99	1817833	1817895	2132540	2132419	mv&flp	NA	314524
I892	0	kmer99	2252586	2252524	2250470	2250349	intact_k	intactk_rev	2054
I896	1	kmer99	2252584	2252522	2250468	2250347	intact_k	intactk_rev	2054
I915	0	kmer99	1900752	1900814	1902868	1902989	intact_k	intactk_fwd	2054
I945	0	kmer99	1817829	1817891	2134628	2134507	mv&flp	NA	316616
I955	0	kmer99	1816965	1817027	2131672	2131551	mv&flp	NA	314524
I958	0	kmer99	1816793	1816855	2132549	2132428	mv&flp	NA	315573
I959	0	kmer99	1868787	1868849	1870903	1871024	intact_k	intactk_fwd	2054
I965	0	kmer99	1869839	1869901	1871955	1872076	intact_k	intactk_fwd	2054
I968	0	kmer99	2260670	2260608	1945963	1946084	mv&flp	NA	314524
I976	0	kmer99	2294717	2294655	2292601	2292480	intact_k	intactk_rev	2054
I977	0	kmer99	2209727	2209665	2207611	2207490	intact_k	intactk_rev	2054
I978	0	kmer99	1901801	1901863	1903917	1904038	intact_k	intactk_fwd	2054
I998	0	kmer99	1818014	1818076	2133770	2133649	mv&flp	NA	315573
J010	0	kmer99	1816730	1816792	2132492	2132371	mv&flp	NA	315579
J013	0	kmer99	1815736	1815798	2131492	2131371	mv&flp	NA	315573
J014	0	kmer99	1817814	1817876	2133576	2133455	mv&flp	NA	315579
J016	0	kmer99	2206563	2206501	2204447	2204326	intact_k	intactk_rev	2054
J019	0	kmer99	2173932	2173994	2176048	2176169	intact_k	intactk_fwd	2054
J022	0	kmer99	1869840	1869902	1871956	1872077	intact_k	intactk_fwd	2054
J023	0	kmer99	1869838	1869900	1871954	1872075	intact_k	intactk_fwd	2054
J024	1	kmer99	2210770	2210708	2208654	2208533	intact_k	intactk_rev	2054
J027	0	kmer99	1900746	1900808	1902862	1902983	intact_k	intactk_fwd	2054
J038	0	kmer99	1817849	1817911	2133599	2133478	mv&flp	NA	315567
J066	0	kmer99	1816783	1816845	2132545	2132424	mv&flp	NA	315579
J068	0	kmer99	1816783	1816845	2132545	2132424	mv&flp	NA	315579
J072	0	kmer99	1902853	1902915	1904969	1905090	intact_k	intactk_fwd	2054
J073	0	kmer99	1902852	1902914	1904968	1905089	intact_k	intactk_fwd	2054
J074	0	kmer99	1868790	1868852	1870906	1871027	intact_k	intactk_fwd	2054
J076	0	kmer99	1868802	1868864	1870918	1871039	intact_k	intactk_fwd	2054
J077	0	kmer99	2125753	2125691	1811032	1811153	mv&flp	NA	314538
J078	0	kmer99	1897361	1897423	1899477	1899598	intact_k	intactk_fwd	2054
J083	0	kmer99	1858034	1858096	2174849	2174728	mv&flp	NA	316632
J085	0	kmer99	2007307	2007369	2323063	2322942	mv&flp	NA	315573
J090	0	kmer99	1816782	1816844	2132537	2132416	mv&flp	NA	315572
J091	0	kmer99	1816786	1816848	2132542	2132421	mv&flp	NA	315573
J092	0	kmer99	1848955	1849017	1851071	1851192	intact_k	intactk_fwd	2054
J094	0	kmer99	1865040	1865102	1867156	1867277	intact_k	intactk_fwd	2054
J098	1	kmer99	2210794	2210732	2208678	2208557	intact_k	intactk_rev	2054
J100	0	kmer99	1818014	1818076	2133770	2133649	mv&flp	NA	315573
J107	0	kmer99	1816781	1816843	2132537	2132416	mv&flp	NA	315573
J110	0	kmer99	1816786	1816848	2132542	2132421	mv&flp	NA	315573
J115	0	kmer99	2123677	2123615	1810009	1810130	mv&flp	NA	313485
J120	0	kmer99	1817832	1817894	2133588	2133467	mv&flp	NA	315573
J122	0	kmer99	1816958	1817020	2132711	2132590	mv&flp	NA	315570
J129	0	kmer99	1816950	1817012	2132703	2132582	mv&flp	NA	315570
J139	0	kmer99	1818957	1819019	2134712	2134591	mv&flp	NA	315572
J148	0	kmer99	2189007	2188945	2186891	2186770	intact_k	intactk_rev	2054
J151	0	kmer99	1869813	1869875	1871929	1872050	intact_k	intactk_fwd	2054
J153	0	kmer99	1816778	1816840	2132531	2132410	mv&flp	NA	315570
J154	0	kmer99	1816780	1816842	2132532	2132411	mv&flp	NA	315569
J155	0	kmer99	1816785	1816847	2132541	2132420	mv&flp	NA	315573
J161	0	kmer99	1816787	1816849	2132539	2132418	mv&flp	NA	315569
J162	0	kmer99	1900741	1900803	1902857	1902978	intact_k	intactk_fwd	2054
J165	0	kmer99	2210781	2210719	2208665	2208544	intact_k	intactk_rev	2054
J170	0	kmer99	1816777	1816839	2131481	2131360	mv&flp	NA	314521
J171	0	kmer99	1868779	1868841	1870895	1871016	intact_k	intactk_fwd	2054
J172	0	kmer99	1845764	1845826	1847880	1848001	intact_k	intactk_fwd	2054
J173	0	kmer99	1816773	1816835	2131477	2131356	mv&flp	NA	314521
J174	0	kmer99	1816962	1817024	2131669	2131548	mv&flp	NA	314524
J175	0	kmer99	2124721	2124659	1808965	1809086	mv&flp	NA	315573
J178	0	kmer99	1815732	1815794	2132537	2132416	mv&flp	NA	316622
J184	0	kmer99	1898650	1898712	1900766	1900887	intact_k	intactk_fwd	2054
J185	0	kmer99	1815730	1815792	2130445	2130324	mv&flp	NA	314532
J191	0	kmer99	2154805	2154743	2152689	2152568	intact_k	intactk_rev	2054
J192	0	kmer99	1902855	1902917	1904971	1905092	intact_k	intactk_fwd	2054
J193	0	kmer99	1815735	1815797	2131489	2131368	mv&flp	NA	315571
J194	0	kmer99	1816786	1816848	2131493	2131372	mv&flp	NA	314524
J196	0	kmer99	1992675	1992737	2307382	2307261	mv&flp	NA	314524
J197	0	kmer99	1815730	1815792	2132535	2132414	mv&flp	NA	316622
J199	0	kmer99	1816962	1817024	2131667	2131546	mv&flp	NA	314522
J201	0	kmer99	1814735	1814797	2129442	2129321	mv&flp	NA	314524
J203	0	kmer99	1816780	1816842	2132536	2132415	mv&flp	NA	315573
J205	0	kmer99	1868741	1868803	1870857	1870978	intact_k	intactk_fwd	2054
J206	0	kmer99	2209738	2209676	2207622	2207501	intact_k	intactk_rev	2054
J207	0	kmer99	2297874	2297812	1981082	1981203	mv&flp	NA	316609
J208	0	kmer99	1817830	1817892	2133585	2133464	mv&flp	NA	315572
J209	0	kmer99	1868769	1868831	1870885	1871006	intact_k	intactk_fwd	2054
J210	0	kmer99	2209732	2209670	2207616	2207495	intact_k	intactk_rev	2054
J226	0	kmer99	1816755	1816817	2132504	2132383	mv&flp	NA	315566
J233	0	kmer99	1868778	1868840	1870894	1871015	intact_k	intactk_fwd	2054
J234	0	kmer99	1901800	1901862	1903916	1904037	intact_k	intactk_fwd	2054
J246	0	kmer99	2207550	2207488	2205434	2205313	intact_k	intactk_rev	2054
J247	0	kmer99	2155790	2155728	2153676	2153555	intact_k	intactk_rev	2052
J249	1	kmer99	1851042	1851104	1853158	1853279	intact_k	intactk_fwd	2054
J250	1	kmer99	1851044	1851106	1853160	1853281	intact_k	intactk_fwd	2054
J251	1	kmer99	1851048	1851110	1853164	1853285	intact_k	intactk_fwd	2054
J252	1	kmer99	1851044	1851106	1853160	1853281	intact_k	intactk_fwd	2054
J253	1	kmer99	1849997	1850059	1852113	1852234	intact_k	intactk_fwd	2054
J254	1	kmer99	1851044	1851106	1853160	1853281	intact_k	intactk_fwd	2054
J255	1	kmer99	1851044	1851106	1853160	1853281	intact_k	intactk_fwd	2054
J256	1	kmer99	1851047	1851109	1853163	1853284	intact_k	intactk_fwd	2054
J257	1	kmer99	1851047	1851109	1853163	1853284	intact_k	intactk_fwd	2054
J258	1	kmer99	1851049	1851111	1853165	1853286	intact_k	intactk_fwd	2054
J259	1	kmer99	1851046	1851108	1853162	1853283	intact_k	intactk_fwd	2054
J260	1	kmer99	1851044	1851106	1853160	1853281	intact_k	intactk_fwd	2054
J261	1	kmer99	1850133	1850195	1852249	1852370	intact_k	intactk_fwd	2054
J262	1	kmer99	1851046	1851108	1853162	1853283	intact_k	intactk_fwd	2054
J263	1	kmer99	1851045	1851107	1853161	1853282	intact_k	intactk_fwd	2054
J276	0	kmer99	1818882	1818944	2135687	2135566	mv&flp	NA	316622
J277	0	kmer99	1816966	1817028	2132722	2132601	mv&flp	NA	315573
J294	0	kmer99	1816212	1816274	2131968	2131847	mv&flp	NA	315573
J295	0	kmer99	1815700	1815762	2131456	2131335	mv&flp	NA	315573
J296	0	kmer99	1816783	1816845	2132539	2132418	mv&flp	NA	315573
J299	0	kmer99	1816961	1817023	2131667	2131546	mv&flp	NA	314523
J300	0	kmer99	1815733	1815795	2130440	2130319	mv&flp	NA	314524
J303	0	kmer99	1817823	1817885	2132525	2132404	mv&flp	NA	314519
J304	0	kmer99	1817703	1817765	2132410	2132289	mv&flp	NA	314524
J305	0	kmer99	2210790	2210728	2208674	2208553	intact_k	intactk_rev	2054
J306	0	kmer99	1898631	1898693	1900747	1900868	intact_k	intactk_fwd	2054
J310	0	kmer99	1897591	1897653	1899707	1899828	intact_k	intactk_fwd	2054
J315	0	kmer99	1868772	1868834	1870888	1871009	intact_k	intactk_fwd	2054
J341	0	kmer99	1816779	1816841	2132541	2132420	mv&flp	NA	315579
J349	0	kmer99	2154809	2154747	2152693	2152572	intact_k	intactk_rev	2054
J352	0	kmer99	1816953	1817015	2131660	2131539	mv&flp	NA	314524
J353	0	kmer99	1815734	1815796	2131463	2131342	mv&flp	NA	315546
J354	0	kmer99	1816781	1816843	2131488	2131367	mv&flp	NA	314524
J355	0	kmer99	1817829	1817891	2132535	2132414	mv&flp	NA	314523
J356	0	kmer99	1816782	1816844	2131489	2131368	mv&flp	NA	314524
J357	0	kmer99	1870986	1871048	2186742	2186621	mv&flp	NA	315573
J358	0	kmer99	1901797	1901859	1903913	1904034	intact_k	intactk_fwd	2054
J359	0	kmer99	2399108	2399170	2401224	2401345	intact_k	intactk_fwd	2054
J360	0	kmer99	1901742	1901804	1903858	1903979	intact_k	intactk_fwd	2054
J361	0	kmer99	1901790	1901852	1903906	1904027	intact_k	intactk_fwd	2054
J362	0	kmer99	1807843	1807905	2123597	2123476	mv&flp	NA	315571
J363	0	kmer99	1890422	1890360	1864511	1864390	intact_k	intactk_rev	25849
J364	0	kmer99	1884637	1884699	1886753	1886874	intact_k	intactk_fwd	2054
J365	0	kmer99	1902848	1902910	1904964	1905085	intact_k	intactk_fwd	2054
J366	0	kmer99	1902844	1902906	1904960	1905081	intact_k	intactk_fwd	2054
J367	0	kmer99	1817837	1817899	2133593	2133472	mv&flp	NA	315573
J368	0	kmer99	1901797	1901859	1903913	1904034	intact_k	intactk_fwd	2054
J369	0	kmer99	1898639	1898701	1900755	1900876	intact_k	intactk_fwd	2054
J370	0	kmer99	2177769	2177707	2175653	2175532	intact_k	intactk_rev	2054
J372	0	kmer99	1868802	1868864	1870918	1871039	intact_k	intactk_fwd	2054
J375	0	kmer99	1867737	1867799	1869853	1869974	intact_k	intactk_fwd	2054
J376	0	kmer99	1868791	1868853	1870907	1871028	intact_k	intactk_fwd	2054
J377	0	kmer99	1868791	1868853	1870907	1871028	intact_k	intactk_fwd	2054
J378	1	kmer99	1842087	1842149	1844203	1844324	intact_k	intactk_fwd	2054
