kmer	event_sum	flk_behaviour	my0_intactk_sum	my1_intactk_sum	otherk	my0_otherk_sum	my1_otherk_sum	event
kmer9922	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 429528 429574 429575 430160 430622 432722  | StartL_sd: 890  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 429574 429574 429574 429574 429575 429575  | StartL_sd: 1  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 429574 429836 430098 430098 430360 430622  | StartL_sd: 741  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 3188771 3189818 3190864 3190864 3191910 3192957	StartL_stat: 429572 429574 430095 430163 430622 431666  | StartL_sd: 659  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 3189821 3191916 3192445 3193292 3194537 3198222	inversion
kmer9919	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1553858 1554380 1554902 1554902 1555425 1555947  | StartL_sd: 1477  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1554896 1554904 1555944 1556338 1557253 1559088  | StartL_sd: 1475  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 1502043 1502570 1503121 1503740 1504171 1507333  | StartL_sd: 1579  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 1002419 1004268 1004533 1004629 1005577 1006638	StartL_stat: 1503118 1503124 1503130 1503130 1503137 1503143  | StartL_sd: 18  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 1004529 1004530 1004532 1004532 1004533 1004534	inversion
kmer9916	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 429582 429628 429629 430214 430676 432776  | StartL_sd: 890  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 429628 429628 429628 429628 429629 429629  | StartL_sd: 1  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 429628 429890 430152 430152 430414 430676  | StartL_sd: 741  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 3188717 3189764 3190810 3190810 3191856 3192903	StartL_stat: 429626 429628 430149 430217 430676 431720  | StartL_sd: 659  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 3189767 3191862 3192391 3193238 3194483 3198168	inversion
kmer9887	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 431809 432071 432333 432333 432595 432857  | StartL_sd: 741  | StartR_stat: 429721 429983 430245 430245 430507 430769  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 431807 431809 432330 432398 432857 433901  | StartL_sd: 659  | StartR_stat: 429719 429721 430242 430310 430769 431813  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 3619512 3621060 3622629 3622742 3623740 3627954  | StartL_sd: 2270  | StartR_stat: 429675 429721 429722 430307 430770 432869  | StartR_sd: 890  | flk_dist_stat: 3188746 3190876 3191937 3192435 3193480 3198230	StartL_stat: 3619573 3620352 3621132 3621132 3621911 3622690  | StartL_sd: 2204  | StartR_stat: 429721 429721 429722 429722 429722 429722  | StartR_sd: 1  | flk_dist_stat: 3189852 3190631 3191410 3191410 3192189 3192968	inversion
kmer9886	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 3619512 3621060 3622629 3622742 3623740 3627954  | StartL_sd: 2270  | StartR_stat: 3621602 3623150 3624719 3624871 3625834 3630044  | StartR_sd: 2297  | flk_dist_stat: 2055 2055 2055 2094 2055 3104	StartL_stat: 3619573 3620352 3621132 3621132 3621911 3622690  | StartL_sd: 2204  | StartR_stat: 3621663 3622442 3623222 3623222 3624001 3624780  | StartR_sd: 2204  | flk_dist_stat: 2055 2055 2055 2055 2055 2055	mv&flp	StartL_stat: 431809 432071 432333 432333 432595 432857  | StartL_sd: 741  | StartR_stat: 3620588 3621896 3623205 3623205 3624514 3625822  | StartR_sd: 3701  | flk_dist_stat: 3188779 3189826 3190872 3190872 3191918 3192965	StartL_stat: 431807 431809 432330 432398 432857 433901  | StartL_sd: 659  | StartR_stat: 3621637 3623739 3624786 3625698 3627144 3631089  | StartR_sd: 2650  | flk_dist_stat: 3189829 3191924 3192453 3193300 3194545 3198230	inversion
kmer9873	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 2505607 2506652 2508705 2508421 2509792 2511920  | StartL_sd: 1853  | StartR_stat: 2499627 2500675 2502725 2502442 2503817 2505940  | StartR_sd: 1853  | flk_dist_stat: 5922 5927 5927 5926 5927 5932	StartL_stat: 2507700 2507708 2507715 2507715 2507722 2507730  | StartL_sd: 21  | StartR_stat: 2501720 2501728 2501735 2501735 2501742 2501750  | StartR_sd: 21  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	mv&flp	StartL_stat: 1544713 1545235 1545758 1545758 1546280 1546802  | StartL_sd: 1477  | StartR_stat: 2550354 2552190 2554026 2554026 2555863 2557699  | StartR_sd: 5194  | flk_dist_stat: 1005458 1006772 1008086 1008086 1009400 1010714	StartL_stat: 1545751 1545760 1546800 1547128 1547851 1549943  | StartL_sd: 1416  | StartR_stat: 2553506 2554554 2555600 2556188 2557696 2559803  | StartR_sd: 1874  | flk_dist_stat: 1007567 1008609 1008616 1008877 1008880 1011764	inversion
kmer9872	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1544713 1545235 1545758 1545758 1546280 1546802  | StartL_sd: 1477  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1545751 1545760 1546800 1547128 1547851 1549943  | StartL_sd: 1416  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 2505607 2506652 2508705 2508421 2509792 2511920  | StartL_sd: 1853  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 1002364 1004213 1004478 1004574 1005522 1006583	StartL_stat: 2507700 2507708 2507715 2507715 2507722 2507730  | StartL_sd: 21  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 1004474 1004475 1004476 1004476 1004478 1004479	inversion
kmer9864	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 3620724 3622032 3623341 3623341 3624650 3625958  | StartL_sd: 3701  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	StartL_stat: 3621773 3623875 3624922 3625834 3627280 3631225  | StartL_sd: 2650  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 2060 2060 2060 2060 2060 2060	mv&flp	StartL_stat: 3621738 3623286 3624855 3625007 3625970 3630180  | StartL_sd: 2297  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 3188731 3190861 3191922 3192459 3193465 3198215	StartL_stat: 3621799 3622578 3623358 3623358 3624137 3624916  | StartL_sd: 2204  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 3189837 3190616 3191395 3191395 3192174 3192953	inversion
kmer981	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 2556342 2558178 2560014 2560014 2561851 2563687  | StartL_sd: 5194  | StartR_stat: 2550354 2552190 2554026 2554026 2555863 2557699  | StartR_sd: 5194  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	StartL_stat: 2559494 2560542 2561588 2562242 2563684 2565791  | StartL_sd: 1984  | StartR_stat: 2553506 2554554 2555600 2556188 2557696 2559803  | StartR_sd: 1874  | flk_dist_stat: 5927 5927 5927 5993 5927 6976	mv&flp	StartL_stat: 1492895 1493417 1493968 1494587 1495018 1498180  | StartL_sd: 1578  | StartR_stat: 2499627 2500675 2502725 2502442 2503817 2505940  | StartR_sd: 1853  | flk_dist_stat: 1005461 1007312 1007576 1007672 1008620 1009681	StartL_stat: 1493965 1493971 1493978 1493978 1493984 1493990  | StartL_sd: 18  | StartR_stat: 2501720 2501728 2501735 2501735 2501742 2501750  | StartR_sd: 21  | flk_dist_stat: 1007572 1007573 1007574 1007574 1007576 1007577	inversion
kmer980	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1492895 1493417 1493968 1494587 1495018 1498180  | StartL_sd: 1578  | StartR_stat: 1501968 1502495 1503046 1503665 1504096 1507258  | StartR_sd: 1579  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1493965 1493971 1493978 1493978 1493984 1493990  | StartL_sd: 18  | StartR_stat: 1503043 1503049 1503056 1503056 1503062 1503068  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 2556342 2558178 2560014 2560014 2561851 2563687  | StartL_sd: 5194  | StartR_stat: 1553783 1554305 1554828 1554828 1555350 1555872  | StartR_sd: 1477  | flk_dist_stat: 1002376 1003690 1005004 1005004 1006318 1007632	StartL_stat: 2559494 2560542 2561588 2562242 2563684 2565791  | StartL_sd: 1984  | StartR_stat: 1554821 1554830 1555870 1556263 1557178 1559013  | StartR_sd: 1475  | flk_dist_stat: 1004485 1005528 1005534 1005796 1006577 1007633	inversion
kmer9772	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 429524 429570 429571 430156 430618 432718  | StartL_sd: 890  | StartR_stat: 431733 431779 431780 432365 432828 434927  | StartR_sd: 890  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	StartL_stat: 429570 429570 429570 429570 429571 429571  | StartL_sd: 1  | StartR_stat: 431779 431779 431780 431780 431780 431780  | StartR_sd: 1  | flk_dist_stat: 2058 2058 2058 2058 2058 2058	mv&flp	StartL_stat: 429570 429832 430094 430094 430356 430618  | StartL_sd: 741  | StartR_stat: 3618528 3619836 3621145 3621145 3622454 3623762  | StartR_sd: 3701  | flk_dist_stat: 3188775 3189822 3190868 3190868 3191914 3192961	StartL_stat: 429568 429570 430091 430159 430618 431662  | StartL_sd: 659  | StartR_stat: 3619577 3621679 3622726 3623638 3625084 3629029  | StartR_sd: 2650  | flk_dist_stat: 3189825 3191920 3192449 3193296 3194541 3198226	inversion
kmer9771	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 429570 429832 430094 430094 430356 430618  | StartL_sd: 741  | StartR_stat: 431774 432036 432298 432298 432560 432822  | StartR_sd: 741  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	StartL_stat: 429568 429570 430091 430159 430618 431662  | StartL_sd: 659  | StartR_stat: 431772 431774 432295 432363 432822 433866  | StartR_sd: 659  | flk_dist_stat: 2053 2053 2053 2053 2053 2053	mv&flp	StartL_stat: 429524 429570 429571 430156 430618 432718  | StartL_sd: 890  | StartR_stat: 3619547 3621095 3622664 3622777 3623774 3627989  | StartR_sd: 2270  | flk_dist_stat: 3188749 3190879 3191940 3192438 3193483 3198233	StartL_stat: 429570 429570 429570 429570 429571 429571  | StartL_sd: 1  | StartR_stat: 3619608 3620387 3621166 3621166 3621946 3622725  | StartR_sd: 2204  | flk_dist_stat: 3189855 3190634 3191413 3191413 3192192 3192971	inversion
kmer9755	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 2550260 2552096 2553932 2553932 2555769 2557605  | StartL_sd: 5194  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	StartL_stat: 2553412 2554460 2555506 2556094 2557602 2559709  | StartL_sd: 1874  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 5927 5927 5927 5993 5927 6976	mv&flp	StartL_stat: 2499533 2500581 2502631 2502348 2503723 2505846  | StartL_sd: 1853  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 1005489 1007340 1007604 1007700 1008648 1009709	StartL_stat: 2501626 2501634 2501641 2501641 2501648 2501656  | StartL_sd: 21  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 1007600 1007601 1007602 1007602 1007604 1007605	inversion
kmer9754	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 2499533 2500581 2502631 2502348 2503723 2505846  | StartL_sd: 1853  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 5922 5927 5927 5926 5927 5932	StartL_stat: 2501626 2501634 2501641 2501641 2501648 2501656  | StartL_sd: 21  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 5927 5927 5927 5927 5927 5927	mv&flp	StartL_stat: 2550260 2552096 2553932 2553932 2555769 2557605  | StartL_sd: 5194  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 1005494 1006808 1008122 1008122 1009436 1010750	StartL_stat: 2553412 2554460 2555506 2556094 2557602 2559709  | StartL_sd: 1874  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 1007603 1008645 1008652 1008913 1008916 1011800	inversion
kmer9718	intact_k:mv&flp	 intact_k:2/18(0.11):27/29(0.93) mv&flp:16/18(0.89):2/29(0.07)	StartL_stat: 1502050 1502577 1503128 1503747 1504178 1507340  | StartL_sd: 1579  | StartR_stat: 1492956 1493478 1494029 1494648 1495079 1498241  | StartR_sd: 1578  | flk_dist_stat: 9012 9017 9017 9016 9017 9027	StartL_stat: 1503125 1503131 1503138 1503138 1503144 1503150  | StartL_sd: 18  | StartR_stat: 1494026 1494032 1494038 1494038 1494045 1494051  | StartR_sd: 18  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	mv&flp	StartL_stat: 1553865 1554387 1554910 1554910 1555432 1555954  | StartL_sd: 1477  | StartR_stat: 2556281 2558117 2559954 2559954 2561790 2563626  | StartR_sd: 5194  | flk_dist_stat: 1002416 1003730 1005044 1005044 1006358 1007672	StartL_stat: 1554903 1554912 1555952 1556345 1557260 1559095  | StartL_sd: 1475  | StartR_stat: 2559433 2560481 2561528 2562181 2563623 2565730  | StartR_sd: 1984  | flk_dist_stat: 1004525 1005568 1005574 1005836 1006617 1007673	inversion
kmer9717	mv&flp:intact_k	 mv&flp:2/18(0.11):27/29(0.93) intact_k:16/18(0.89):2/29(0.07)	StartL_stat: 1553922 1554444 1554966 1554966 1555489 1556011  | StartL_sd: 1477  | StartR_stat: 1544766 1545288 1545810 1545810 1546333 1546855  | StartR_sd: 1477  | flk_dist_stat: 9017 9017 9017 9017 9017 9017	StartL_stat: 1554960 1554968 1556008 1556402 1557317 1559152  | StartL_sd: 1475  | StartR_stat: 1545804 1545812 1546852 1547181 1547904 1549996  | StartR_sd: 1416  | flk_dist_stat: 9012 9017 9017 9082 9017 10066	mv&flp	StartL_stat: 1502107 1502634 1503185 1503804 1504235 1507397  | StartL_sd: 1579  | StartR_stat: 2505554 2506600 2508652 2508368 2509739 2511867  | StartR_sd: 1853  | flk_dist_stat: 1002355 1004204 1004469 1004565 1005513 1006574	StartL_stat: 1503182 1503188 1503194 1503194 1503201 1503207  | StartL_sd: 18  | StartR_stat: 2507647 2507654 2507662 2507662 2507670 2507677  | StartR_sd: 21  | flk_dist_stat: 1004465 1004466 1004468 1004468 1004469 1004470	inversion
