sseqid	mystart	myend
H520	2855985	2857037
H520	2873286	2874388
H520	2876543	2877595
H520	2895281	2896333
H520	2899732	2900778
H520	2927400	2928452
H520	2935931	2936983
H520	2940766	2941818
H520	2956869	2957921
H520	3005633	3006685
H520	3014697	3015743
H520	3027433	3028485
H520	3054496	3055548
H520	3074949	3076001
H520	3095322	3096374
H520	3099078	3100130
H520	3113536	3114589
H520	3117240	3118292
H520	3138938	3139990
H520	3149501	3150553
H520	3189975	3191027
H520	3197814	3198861
H520	3231410	3232462
H520	3236997	3238049
H520	3274400	3275446
H520	3289643	3290695
H520	3293511	3294563
H520	3299564	3300616
H520	3303621	3304673
H520	3315859	3316911
H520	3331599	3332646
H520	3362390	3363442
H520	3369738	3370790
H520	3373575	3374626
H520	3385642	3386694
H520	3402168	3403220
H520	3415021	3416073
H520	3431112	3432164
H520	3440405	3441457
H520	3462542	3463594
H520	3488923	3491024
H520	3500400	3501452
H520	3530455	3531508
H520	3577695	3578742
H520	3587060	3588112
H520	3604397	3605449
H520	3621592	3622644
H520	3657644	3658696
H520	3702589	3703636
H520	3715778	3716830
H520	3726214	3727266
H520	3729525	3730577
H520	3750645	3751697
H520	3752760	3753806
H520	3765576	3766628
H520	3782386	3783433
H520	3785519	3786570
H520	3822042	3823094
H520	3839071	3840123
H520	3913067	3914118
H520	3921607	3922659
H520	3950513	3951565
H520	4001945	4002215
H520	4024833	4025885
H520	4030248	4032349
H520	4065589	4066641
H520	4077314	4078366
I187	27283	28335
I187	34524	35576
I187	43562	44614
I187	50040	51092
I187	57498	58550
I187	68984	70036
I187	77635	78687
I187	79374	79604
I187	107428	108480
I187	121123	122175
I187	150029	151081
I187	158570	159621
I187	232565	233617
I187	249594	250646
I187	286118	287169
I187	289255	290302
I187	306060	307112
I187	318882	319928
I187	320991	322043
I187	342111	343163
I187	345422	346474
I187	355858	356910
I187	369052	371149
I187	415042	416094
I187	451093	452145
I187	489272	491373
I187	503171	504223
I187	517408	518460
I187	529170	530221
I187	539884	540936
I187	542224	543276
I187	560293	561345
I187	576081	577127
I187	583418	584470
I187	595195	596246
I187	597799	598851
I187	641535	642587
I187	650631	651683
I187	658565	659617
I187	674463	675515
I187	694427	695479
I187	757179	758231
I187	761608	762660
I187	770688	771734
I187	775123	776175
I187	783213	784265
I187	794193	795245
I187	806973	808025
I187	830823	832924
I187	838461	840562
I187	841909	842961
I187	891004	892056
I187	924977	926029
I187	944558	945610
I187	952838	953890
I187	984710	985762
I187	1027075	1028127
I187	1044785	1045836
I187	1051071	1052122
I187	1065730	1066782
I187	1076270	1077322
I187	1080874	1081926
I187	1083686	1084738
I187	1089119	1090171
I187	1096441	1097487
I187	1107064	1108116
I187	1109403	1110454
I187	1119010	1120062
I187	1127105	1128156
I187	1150347	1151399
I187	1154952	1156004
I187	1165447	1166499
I187	1190755	1191807
I187	1206182	1207234
I187	1215260	1217361
I187	1237513	1238565
I187	1262390	1263441
I187	1269761	1270813
I187	1286214	1287261
I187	1321539	1322590
I187	1343574	1344626
I187	1348636	1349688
I187	1370458	1371510
I187	1374891	1375943
I187	1377798	1378850
I187	1379389	1380441
I187	1388350	1389402
I187	1434239	1435291
I187	1469080	1470132
I187	1475418	1476470
I187	1487698	1489799
I187	1515395	1516447
I187	1520180	1521232
I187	1522358	1523410
I187	1537817	1538869
I187	1566813	1567865
I187	1581076	1582128
I187	1585196	1586248
I187	1601667	1602719
I187	1622971	1624023
I187	1632296	1633348
I187	1669094	1670146
I187	1672524	1673576
I187	1677305	1678357
I187	1693276	1694323
I187	1715018	1716070
I187	1723734	1724786
I187	1731981	1733033
I187	1746343	1748444
I187	1754917	1755969
I187	1776464	1777516
I187	1778184	1778583
I187	1819431	1820482
I187	1833493	1834545
I187	1869357	1870408
I187	1895233	1896285
I187	1929220	1930272
I187	1938717	1939769
I187	1963782	1965883
I187	1971505	1972557
I187	2007340	2008392
I187	2026028	2027080
I187	2027200	2028252
I187	2039749	2040801
I187	2040804	2041840
I187	2058026	2059078
I187	2059527	2060579
I187	2080224	2082325
I187	2088194	2089246
I187	2100247	2102348
I187	2131521	2133622
I187	2168823	2169875
I187	2170806	2171858
I187	2185052	2186103
I187	2223108	2224160
I187	2233421	2234473
I187	2247873	2249974
I187	2271810	2272862
I187	2280383	2281435
I187	2320447	2321499
I187	2327753	2329854
I187	2355667	2356719
I187	2383074	2384126
I187	2430145	2431197
I187	2463558	2464610
I187	2491705	2492757
I187	2504178	2505224
I187	2525195	2525335
I187	2529068	2530120
I187	2562831	2563883
I187	2574953	2577054
I187	2582548	2583600
I187	2586259	2587311
I187	2629490	2630542
I187	2663978	2665030
I187	2691034	2692081
I187	2695141	2696193
I187	2724105	2725157
I187	2740439	2741491
I187	2749829	2750881
I187	2758468	2759520
I187	2814189	2815241
I187	2839311	2840363
I187	2858657	2859709
I187	2878495	2879547
I187	2895796	2896898
I187	2899053	2900105
I187	2917791	2918843
I187	2922242	2923288
I187	2949910	2950962
I187	2958441	2959493
I187	2963276	2964328
I187	2979379	2980431
I187	2995328	2996380
I187	3028250	3029302
I187	3037314	3038360
I187	3050050	3052151
I187	3078165	3079217
I187	3098618	3099670
I187	3118991	3120043
I187	3122747	3123799
I187	3137205	3138258
I187	3140909	3141961
I187	3162607	3163659
I187	3173170	3174222
I187	3213644	3214696
I187	3221483	3222530
I187	3255079	3256131
I187	3260666	3261718
I187	3298069	3299115
I187	3313312	3314364
I187	3317180	3318232
I187	3323233	3324285
I187	3327290	3328342
I187	3339528	3340580
I187	3355268	3356315
I187	3386059	3387111
I187	3393407	3394459
I187	3397244	3398295
I187	3409311	3410363
I187	3425837	3426889
I187	3438690	3439742
I187	3454781	3455833
I187	3485163	3486215
I187	3511544	3513645
I187	3523021	3524073
I187	3553076	3554128
I187	3600315	3601362
I187	3609680	3610732
I187	3627017	3629118
I187	3645261	3646312
I187	3654436	3655482
I187	3663095	3664147
I187	3674431	3675478
I187	3684629	3685676
I187	3710182	3711229
I187	3720563	3721615
I187	3745199	3746251
I187	3773513	3774565
I187	3774929	3775981
I187	3789508	3790560
I187	3798341	3799393
I187	3810010	3811062
I187	3840161	3841213
I187	3842247	3843299
I187	3851028	3852080
I187	3869948	3871000
I187	3881178	3882230
I187	3901282	3902334
I187	3910588	3911640
I187	3940329	3941376
I187	3954359	3955411
I187	4005791	4006061
I187	4028679	4029731
I187	4034094	4036195
I187	4069435	4070487
I187	4081160	4082212
