sseqid	mystart	myend	merge
J234	2091030	2092082	NA
J234	2092531	2093583	NA
J234	2113228	2115329	merged_IS
J234	2121198	2122250	NA
J234	2133251	2134303	NA
J234	2163476	2165577	merged_IS
J234	2200778	2201830	NA
J234	2202761	2203813	NA
J234	2217007	2218058	NA
J234	2255063	2256115	NA
J234	2265376	2266428	NA
J234	2279828	2281929	merged_IS
J234	2303765	2304817	NA
J234	2312338	2313390	NA
J234	2352402	2353454	NA
J234	2359708	2361809	merged_IS
J234	2387622	2388674	NA
J234	2415029	2416081	NA
J234	2462100	2463152	NA
J234	2495513	2496565	NA
J234	2523660	2524712	NA
J234	2529615	2530667	NA
J234	2537182	2538228	NA
J234	2558199	2558339	merged_IS
J234	2562072	2563124	NA
J234	2588720	2589772	NA
J234	2601000	2602052	NA
J234	2607338	2608390	NA
J234	2642179	2643231	NA
J234	2688068	2689120	NA
J234	2697033	2698085	NA
J234	2698624	2699676	NA
J234	2701531	2702583	NA
J234	2705964	2707016	NA
J234	2727785	2728837	NA
J234	2732847	2733899	NA
J234	2754883	2755933	NA
J234	2790211	2791258	NA
J234	2806659	2807711	NA
J234	2814031	2815082	NA
J234	2838907	2839959	NA
J234	2860111	2862212	merged_IS
J234	2870238	2871290	NA
J234	2885665	2886717	NA
J234	2910973	2912025	NA
J234	2921468	2922520	NA
J234	2926073	2927125	NA
J234	2949316	2950367	NA
J234	2957410	2958462	NA
J234	2967018	2968069	NA
J234	2969356	2970408	NA
J234	2979985	2981031	NA
J234	2987301	2988353	NA
J234	2992734	2993786	NA
J234	2995546	2996598	NA
J234	3000150	3001202	NA
J234	3010690	3010717	merged_IS
J234	3025350	3026401	NA
J234	3031636	3032687	NA
J234	3049345	3050397	NA
J234	3091710	3092762	NA
J234	3123582	3124634	NA
J234	3131863	3132915	NA
J234	3151444	3152496	NA
J234	3185417	3186469	NA
J234	3234511	3235563	NA
J234	3236910	3239011	merged_IS
J234	3244548	3246649	merged_IS
J234	3269447	3270499	NA
J234	3282227	3283279	NA
J234	3293207	3294259	NA
J234	3301297	3302349	NA
J234	3305738	3306784	NA
J234	3314812	3315864	NA
J234	3319241	3320293	NA
J234	3381993	3383045	NA
J234	3401957	3403009	NA
J234	3417855	3418907	NA
J234	3425789	3426841	NA
J234	3434885	3435937	NA
J234	3478621	3479673	NA
J234	3481226	3482277	NA
J234	3493002	3494054	NA
J234	3500345	3501391	NA
J234	3516127	3517179	NA
J234	3534196	3535248	NA
J234	3536536	3537588	NA
J234	3547251	3548302	NA
J234	3559012	3560064	NA
J234	3573249	3574301	NA
J234	3586099	3588200	merged_IS
J234	3625327	3626379	NA
J234	3661379	3662431	NA
J234	3706324	3708421	merged_IS
J234	3720563	3721614	NA
J234	3730998	3732050	NA
J234	3734309	3735361	NA
J234	3755429	3756481	NA
J234	3757544	3758590	NA
J234	3770360	3771412	NA
J234	3787170	3788217	NA
J234	3790303	3791354	NA
J234	3826826	3828927	merged_IS
J234	3844904	3845956	NA
J234	3918900	3919951	NA
J234	3927440	3928492	NA
J234	3956346	3957398	NA
J234	4007778	4008048	NA
J234	4030666	4031718	NA
J234	4036081	4037133	NA
J234	4070373	4071425	NA
J234	4082098	4083150	NA
J185	27283	28334	NA
J185	34523	35575	NA
J185	43561	44613	NA
J185	50039	51091	NA
J185	57497	58549	NA
J185	68983	70035	NA
J185	77634	78686	NA
J185	79373	79603	NA
J185	107427	108479	NA
J185	121122	122174	NA
J185	135157	136204	NA
J185	164892	165944	NA
J185	174198	175250	NA
J185	194302	195354	NA
J185	205532	206584	NA
J185	224452	225504	NA
J185	233233	234285	NA
J185	235319	236371	NA
J185	265470	266522	NA
J185	277139	278191	NA
J185	285972	287024	NA
J185	300551	301603	NA
J185	301967	303019	NA
J185	330281	331333	NA
J185	354917	355969	NA
J185	365303	366350	NA
J185	390856	391903	NA
J185	401054	402101	NA
J185	412385	413437	NA
J185	421050	422096	NA
J185	430220	431271	NA
J185	447414	449515	merged_IS
J185	465800	466852	NA
J185	475170	476217	NA
J185	522404	523456	NA
J185	552459	553511	NA
J185	562887	563939	NA
J185	589268	590320	NA
J185	619650	620702	NA
J185	635741	636793	NA
J185	648594	649646	NA
J185	665120	666172	NA
J185	677188	678239	NA
J185	681024	682076	NA
J185	688372	689424	NA
J185	719168	720215	NA
J185	734903	735955	NA
J185	747141	748193	NA
J185	751198	752250	NA
J185	757251	758303	NA
J185	761119	762171	NA
J185	776368	777414	NA
J185	813765	814817	NA
J185	819352	820404	NA
J185	852953	854000	NA
J185	860787	861839	NA
J185	901261	902313	NA
J185	911824	912876	NA
J185	933522	934574	NA
J185	937225	938278	NA
J185	951684	952736	NA
J185	955440	956492	NA
J185	975813	976865	NA
J185	996266	997318	NA
J185	1023329	1024381	NA
J185	1036071	1037117	NA
J185	1045129	1046181	NA
J185	1080361	1081412	NA
J185	1094941	1095993	NA
J185	1111044	1112095	NA
J185	1115878	1116930	NA
J185	1124409	1125460	NA
J185	1152083	1153129	NA
J185	1156528	1157580	NA
J185	1175266	1176318	NA
J185	1178473	1179575	merged_IS
J185	1195824	1196876	NA
J185	1215662	1216714	NA
J185	1217748	1218800	NA
J185	1234201	1235248	NA
J185	1269526	1270577	NA
J185	1291561	1292613	NA
J185	1296623	1297675	NA
J185	1318444	1319496	NA
J185	1322877	1323929	NA
J185	1325784	1326836	NA
J185	1327375	1328427	NA
J185	1336340	1337391	NA
J185	1382228	1383280	NA
J185	1417069	1418121	NA
J185	1423407	1424459	NA
J185	1435687	1437788	merged_IS
J185	1463384	1464436	NA
J185	1468169	1469221	NA
J185	1470347	1471399	NA
J185	1485806	1486858	NA
J185	1514802	1515854	NA
J185	1529065	1530117	NA
J185	1533185	1534237	NA
J185	1549652	1550704	NA
J185	1570956	1572008	NA
J185	1580281	1581333	NA
J185	1617079	1618131	NA
J185	1620509	1621561	NA
J185	1625290	1626342	NA
J185	1641261	1642308	NA
J185	1663003	1664055	NA
J185	1671719	1672771	NA
J185	1679966	1681018	NA
J185	1694328	1695380	NA
J185	1701853	1702905	NA
J185	1723400	1724452	NA
J185	1725111	1725519	NA
J185	1766367	1767418	NA
J185	1780429	1781481	NA
J185	1816293	1817345	NA
J185	1830539	1831591	NA
J185	1832522	1833574	NA
J185	1868775	1870876	merged_IS
J185	1900049	1902150	merged_IS
J185	1913151	1914203	NA
J185	1920072	1921124	NA
J185	1940769	1941821	NA
J185	1942270	1943322	NA
J185	1959508	1960544	NA
J185	1960547	1961599	NA
J185	1973096	1974148	NA
J185	1974268	1975320	NA
J185	1992956	1994008	NA
J185	2028791	2029843	NA
J185	2035465	2037565	merged_IS
J185	2061578	2062630	NA
J185	2071074	2072126	NA
J185	2105070	2106122	NA
J185	2130947	2131997	NA
J185	2169001	2170053	NA
J185	2179314	2180366	NA
J185	2193766	2194818	NA
J185	2216654	2218755	merged_IS
J185	2226276	2228377	merged_IS
J185	2267389	2268441	NA
J185	2274695	2275747	NA
J185	2301560	2302612	NA
J185	2328967	2330019	NA
J185	2376038	2377089	NA
J185	2409450	2410502	NA
J185	2437597	2438649	NA
J185	2450070	2451116	NA
J185	2471087	2471227	merged_IS
J185	2474960	2476012	NA
J185	2508723	2509775	NA
J185	2520845	2522945	merged_IS
J185	2528439	2529491	NA
J185	2532150	2533202	NA
J185	2575379	2576431	NA
J185	2609867	2610919	NA
J185	2636923	2637970	NA
J185	2641030	2642082	NA
J185	2669994	2672095	merged_IS
J185	2687377	2688429	NA
J185	2696767	2697819	NA
J185	2705406	2706458	NA
J185	2761118	2762170	NA
J185	2786240	2787292	NA
J185	2805586	2806638	NA
J185	2811921	2812971	NA
J185	2836796	2837848	NA
J185	2858000	2860101	merged_IS
J185	2868127	2870228	merged_IS
J185	2884603	2885655	NA
J185	2909911	2910963	NA
J185	2920406	2921458	NA
J185	2925011	2926063	NA
J185	2948254	2949305	NA
J185	2956348	2957400	NA
J185	2965956	2967007	NA
J185	2968294	2969345	NA
J185	2978922	2979968	NA
J185	2986238	2987290	NA
J185	2991671	2992723	NA
J185	2994483	2995535	NA
J185	2999087	3000139	NA
J185	3009627	3009654	merged_IS
J185	3024287	3025338	NA
J185	3030573	3031624	NA
J185	3048282	3049334	NA
J185	3090647	3091699	NA
J185	3122519	3123571	NA
J185	3130800	3131852	NA
J185	3150381	3151433	NA
J185	3184354	3185406	NA
J185	3233449	3234500	NA
J185	3235847	3236899	NA
J185	3242436	3244537	merged_IS
J185	3267335	3268387	NA
J185	3280115	3281167	NA
J185	3291095	3292147	NA
J185	3299185	3300237	NA
J185	3303626	3304672	NA
J185	3312700	3313752	NA
J185	3317129	3318180	NA
J185	3379880	3380932	NA
J185	3399844	3400896	NA
J185	3415742	3416794	NA
J185	3422794	3423846	NA
J185	3424725	3425777	NA
J185	3433821	3434873	NA
J185	3477557	3478607	NA
J185	3480160	3481211	NA
J185	3491936	3492988	NA
J185	3499279	3500325	NA
J185	3515061	3516113	NA
J185	3533130	3534182	NA
J185	3535470	3536521	NA
J185	3546184	3547235	NA
J185	3557945	3558997	NA
J185	3572182	3573234	NA
J185	3585032	3587133	merged_IS
J185	3624260	3625312	NA
J185	3660311	3661363	NA
J185	3705255	3707352	merged_IS
J185	3719494	3720546	NA
J185	3729930	3730982	NA
J185	3733241	3734293	NA
J185	3754361	3755413	NA
J185	3756476	3757522	NA
J185	3769292	3770344	NA
J185	3786102	3787149	NA
J185	3789235	3790286	NA
J185	3825758	3826810	NA
J185	3842787	3843839	NA
J185	3916783	3917833	NA
J185	3925322	3927423	merged_IS
J185	3955277	3956329	NA
J185	4006709	4006979	NA
J185	4029597	4030649	NA
J185	4035012	4036064	NA
J185	4069304	4070355	NA
J185	4081028	4082079	NA
J184	27283	28335	NA
J184	34524	35576	NA
J184	43562	44614	NA
J184	50040	51092	NA
J184	57498	58550	NA
J184	68984	70036	NA
J184	77635	78687	NA
J184	79374	79604	NA
J184	107428	108480	NA
J184	121123	122175	NA
J184	135158	136205	NA
J184	164893	165945	NA
J184	174199	175251	NA
J184	194303	195355	NA
J184	205533	206585	NA
J184	224453	225505	NA
J184	233234	234286	NA
J184	235320	236372	NA
J184	265471	266522	NA
J184	277139	278191	NA
J184	285972	287024	NA
J184	300551	301603	NA
J184	301967	303019	NA
J184	330281	331333	NA
J184	354917	355969	NA
J184	365303	366350	NA
J184	390856	391903	NA
J184	401054	402101	NA
J184	412385	413437	NA
J184	421050	422096	NA
J184	430220	431271	NA
J184	447414	449515	merged_IS
J184	465800	466852	NA
J184	475170	476217	NA
J184	522404	523456	NA
J184	552459	553511	NA
J184	562887	564988	merged_IS
J184	590317	591369	NA
J184	620699	621751	NA
J184	636790	637842	NA
J184	649643	650695	NA
J184	666169	667221	NA
J184	678237	679288	NA
J184	682073	683125	NA
J184	689421	690473	NA
J184	720216	721263	NA
J184	735951	737003	NA
J184	748189	749241	NA
J184	752246	753298	NA
J184	758299	759351	NA
J184	762167	763219	NA
J184	777416	778462	NA
J184	814813	815865	NA
J184	820400	821452	NA
J184	854001	855048	NA
J184	861835	862887	NA
J184	902309	903361	NA
J184	912872	913924	NA
J184	934570	935622	NA
J184	938273	939326	NA
J184	952732	953784	NA
J184	956488	957540	NA
J184	976861	977913	NA
J184	997319	998371	NA
J184	1024382	1025434	NA
J184	1037124	1038170	NA
J184	1046182	1047234	NA
J184	1094946	1095998	NA
J184	1111049	1112101	NA
J184	1115884	1116936	NA
J184	1124415	1125467	NA
J184	1152089	1153135	NA
J184	1156534	1157586	NA
J184	1175271	1176323	NA
J184	1178478	1179580	merged_IS
J184	1195829	1196881	NA
J184	1215667	1217768	merged_IS
J184	1236062	1237114	NA
J184	1261184	1262236	NA
J184	1316905	1317957	NA
J184	1325544	1326596	NA
J184	1334934	1335986	NA
J184	1351268	1352320	NA
J184	1380232	1381284	NA
J184	1384344	1385391	NA
J184	1411395	1412447	NA
J184	1445883	1446935	NA
J184	1489114	1490166	NA
J184	1492825	1493877	NA
J184	1499371	1501472	merged_IS
J184	1512542	1513594	NA
J184	1546305	1547357	NA
J184	1551090	1552142	NA
J184	1553268	1554320	NA
J184	1568727	1569779	NA
J184	1597723	1598775	NA
J184	1611985	1613037	NA
J184	1616105	1617157	NA
J184	1632572	1633624	NA
J184	1653876	1654928	NA
J184	1663201	1664253	NA
J184	1699999	1701051	NA
J184	1703429	1704481	NA
J184	1708210	1709262	NA
J184	1724181	1725228	NA
J184	1745923	1746975	NA
J184	1754639	1755691	NA
J184	1762886	1763938	NA
J184	1777248	1778300	NA
J184	1784773	1785825	NA
J184	1806320	1807372	NA
J184	1808031	1808439	NA
J184	1849287	1850338	NA
J184	1863349	1864401	NA
J184	1899213	1900264	NA
J184	1925089	1926141	NA
J184	1959076	1960128	NA
J184	1968572	1969624	NA
J184	1993637	1995737	merged_IS
J184	2001359	2002411	NA
J184	2037194	2038246	NA
J184	2055882	2056934	NA
J184	2057054	2058106	NA
J184	2069603	2070655	NA
J184	2070658	2071694	NA
J184	2087880	2088932	NA
J184	2089381	2090433	NA
J184	2110078	2112179	merged_IS
J184	2118048	2119100	NA
J184	2130101	2131153	NA
J184	2160326	2162427	merged_IS
J184	2197628	2198680	NA
J184	2199611	2200663	NA
J184	2213857	2214908	NA
J184	2251913	2252965	NA
J184	2262226	2263278	NA
J184	2276678	2278779	merged_IS
J184	2300615	2301667	NA
J184	2309188	2310240	NA
J184	2349252	2350304	NA
J184	2356558	2358658	merged_IS
J184	2384471	2385523	NA
J184	2411878	2412930	NA
J184	2458949	2460001	NA
J184	2492362	2493414	NA
J184	2520509	2521561	NA
J184	2526464	2527516	NA
J184	2534031	2535077	NA
J184	2555048	2555188	merged_IS
J184	2558921	2559973	NA
J184	2585569	2586621	NA
J184	2597849	2598901	NA
J184	2604187	2605239	NA
J184	2639028	2640080	NA
J184	2684917	2685969	NA
J184	2693882	2694934	NA
J184	2695473	2696525	NA
J184	2698380	2699432	NA
J184	2702813	2703865	NA
J184	2724634	2725686	NA
J184	2729696	2730748	NA
J184	2751732	2752783	NA
J184	2787061	2788108	NA
J184	2803509	2804561	NA
J184	2810881	2811932	NA
J184	2835757	2836809	NA
J184	2856961	2859062	merged_IS
J184	2867088	2868140	NA
J184	2882514	2883565	NA
J184	2907821	2908873	NA
J184	2918316	2919368	NA
J184	2922921	2923973	NA
J184	2946164	2947215	NA
J184	2954258	2955310	NA
J184	2963866	2964917	NA
J184	2966204	2967256	NA
J184	2976833	2977879	NA
J184	2984149	2985201	NA
J184	2989582	2990634	NA
J184	2992394	2993446	NA
J184	2996998	2998050	NA
J184	3007538	3008614	merged_IS
J184	3023247	3024298	NA
J184	3029533	3030584	NA
J184	3047242	3048294	NA
J184	3089607	3090659	NA
J184	3121479	3122531	NA
J184	3129760	3130812	NA
J184	3149341	3150393	NA
J184	3183314	3184366	NA
J184	3232409	3233461	NA
J184	3234808	3235860	NA
J184	3241397	3243498	merged_IS
J184	3266296	3267348	NA
J184	3279076	3280128	NA
J184	3290056	3291108	NA
J184	3298146	3299198	NA
J184	3302587	3303633	NA
J184	3311661	3312713	NA
J184	3316090	3317142	NA
J184	3378842	3379894	NA
J184	3398806	3399858	NA
J184	3414704	3415756	NA
J184	3422638	3423690	NA
J184	3431734	3432786	NA
J184	3475470	3476522	NA
J184	3478075	3479126	NA
J184	3489851	3490903	NA
J184	3497194	3498240	NA
J184	3512976	3514028	NA
J184	3531045	3532097	NA
J184	3533385	3534437	NA
J184	3544100	3545151	NA
J184	3555861	3556913	NA
J184	3570098	3571150	NA
J184	3582948	3585049	merged_IS
J184	3622176	3623228	NA
J184	3658227	3659279	NA
J184	3703172	3705269	merged_IS
J184	3717411	3718463	NA
J184	3727847	3728899	NA
J184	3731158	3732210	NA
J184	3752278	3753330	NA
J184	3754393	3755439	NA
J184	3767209	3768261	NA
J184	3784019	3785066	NA
J184	3787152	3788203	NA
J184	3823675	3825775	merged_IS
J184	3841752	3842804	NA
J184	3915748	3916799	NA
J184	3924288	3925340	NA
J184	3953194	3954246	NA
J184	4004626	4004896	NA
J184	4027514	4028566	NA
J184	4032929	4033981	NA
J184	4067221	4068273	NA
J184	4078946	4079998	NA
J139	27283	28335	NA
J139	34524	35576	NA
J139	43562	44614	NA
J139	50040	51092	NA
J139	57498	58550	NA
J139	68984	70036	NA
J139	77635	78687	NA
J139	79374	79604	NA
J139	107428	108480	NA
J139	121123	122174	NA
J139	135157	136204	NA
J139	164892	165944	NA
J139	174198	175250	NA
J139	194302	195354	NA
J139	205532	206584	NA
J139	224452	225503	NA
J139	233232	234284	NA
J139	235318	236370	NA
J139	265469	266521	NA
J139	277138	278189	NA
J139	285970	287022	NA
J139	300549	301601	NA
J139	301965	303017	NA
J139	330279	331331	NA
J139	354915	355967	NA
J139	365301	366348	NA
J139	390854	391901	NA
J139	401052	402099	NA
J139	412383	413435	NA
J139	421048	422094	NA
J139	430218	431269	NA
J139	447412	450562	merged_IS
J139	466847	467899	NA
J139	476217	477264	NA
J139	523451	524503	NA
J139	553506	555607	merged_IS
J139	564983	566035	NA
J139	591364	592416	NA
J139	621746	622798	NA
J139	637837	638889	NA
J139	650690	651742	NA
J139	667216	668268	NA
J139	679284	680335	NA
J139	683120	684172	NA
J139	690468	691520	NA
J139	721264	722311	NA
J139	736999	738051	NA
J139	749237	750289	NA
J139	753294	754346	NA
J139	759347	760399	NA
J139	763215	764267	NA
J139	778464	779510	NA
J139	815861	816912	NA
J139	821447	822499	NA
J139	855048	856095	NA
J139	862882	863934	NA
J139	903356	904408	NA
J139	913919	914971	NA
J139	935617	936669	NA
J139	939320	940373	NA
J139	953779	954831	NA
J139	957535	958587	NA
J139	978945	979997	NA
J139	999398	1000450	NA
J139	1026554	1027606	NA
J139	1039296	1040342	NA
J139	1048354	1049406	NA
J139	1083586	1084638	NA
J139	1098167	1099219	NA
J139	1114270	1115322	NA
J139	1119105	1120157	NA
J139	1127636	1128687	NA
J139	1155309	1156355	NA
J139	1159754	1160806	NA
J139	1178492	1179544	NA
J139	1181699	1182801	merged_IS
J139	1199050	1200102	NA
J139	1218888	1219940	NA
J139	1220974	1222026	NA
J139	1237427	1238474	NA
J139	1272752	1273803	NA
J139	1294787	1295839	NA
J139	1299849	1300901	NA
J139	1321670	1322722	NA
J139	1326103	1327155	NA
J139	1329010	1330062	NA
J139	1330601	1331653	NA
J139	1339566	1340618	NA
J139	1385455	1386507	NA
J139	1420296	1421348	NA
J139	1426634	1427686	NA
J139	1438914	1441015	merged_IS
J139	1466611	1467662	NA
J139	1471395	1472447	NA
J139	1473573	1474625	NA
J139	1489032	1490084	NA
J139	1518028	1519080	NA
J139	1532291	1533343	NA
J139	1536411	1537463	NA
J139	1552879	1553931	NA
J139	1574183	1575235	NA
J139	1583508	1584560	NA
J139	1620306	1621358	NA
J139	1623736	1624788	NA
J139	1628517	1629569	NA
J139	1644488	1645535	NA
J139	1666230	1667282	NA
J139	1674946	1675998	NA
J139	1683193	1684245	NA
J139	1697555	1698607	NA
J139	1705080	1706132	NA
J139	1726627	1727679	NA
J139	1728338	1728746	NA
J139	1769594	1770645	NA
J139	1783656	1784708	NA
J139	1819520	1820572	NA
J139	1833766	1834818	NA
J139	1835749	1836801	NA
J139	1872002	1874103	merged_IS
J139	1903276	1905377	merged_IS
J139	1916378	1917430	NA
J139	1923299	1925400	merged_IS
J139	1945045	1946097	NA
J139	1946546	1947598	NA
J139	1963784	1964820	NA
J139	1964823	1965875	NA
J139	1977372	1978424	NA
J139	1978544	1979596	NA
J139	1997232	1998284	NA
J139	2033067	2034118	NA
J139	2039740	2041841	merged_IS
J139	2065854	2066906	NA
J139	2075350	2076402	NA
J139	2109337	2110389	NA
J139	2135214	2136264	NA
J139	2173269	2174321	NA
J139	2183582	2184634	NA
J139	2198034	2199086	NA
J139	2220922	2223023	merged_IS
J139	2230544	2232645	merged_IS
J139	2271657	2272709	NA
J139	2278963	2280015	NA
J139	2305828	2306880	NA
J139	2333235	2334287	NA
J139	2380306	2381358	NA
J139	2413719	2414771	NA
J139	2441866	2442918	NA
J139	2454339	2455385	NA
J139	2475356	2475496	merged_IS
J139	2479229	2480281	NA
J139	2512992	2514044	NA
J139	2525114	2527215	merged_IS
J139	2532709	2533761	NA
J139	2536420	2537472	NA
J139	2579649	2580701	NA
J139	2614137	2615189	NA
J139	2641193	2642240	NA
J139	2645300	2646352	NA
J139	2674258	2676359	merged_IS
J139	2718531	2719583	NA
J139	2753019	2754071	NA
J139	2780075	2781122	NA
J139	2784182	2785234	NA
J139	2813140	2815241	merged_IS
J139	2830523	2831575	NA
J139	2839913	2840965	NA
J139	2848552	2850653	merged_IS
J139	2905313	2906365	NA
J139	2930435	2931487	NA
J139	2949781	2950833	NA
J139	2956116	2957167	NA
J139	2980992	2982044	NA
J139	3002196	3004297	merged_IS
J139	3012323	3013375	NA
J139	3027749	3028801	NA
J139	3053057	3054109	NA
J139	3063552	3064604	NA
J139	3068157	3069208	NA
J139	3091399	3092450	NA
J139	3099493	3100545	NA
J139	3109101	3110152	NA
J139	3111439	3112491	NA
J139	3122068	3123114	NA
J139	3129384	3130436	NA
J139	3134817	3135869	NA
J139	3137629	3138681	NA
J139	3142233	3143285	NA
J139	3152773	3152800	merged_IS
J139	3167433	3168484	NA
J139	3173719	3174770	NA
J139	3191428	3192480	NA
J139	3233793	3234845	NA
J139	3265665	3266717	NA
J139	3273945	3274997	NA
J139	3293526	3294578	NA
J139	3327499	3328551	NA
J139	3376593	3377640	NA
J139	3377643	3378690	NA
J139	3384227	3386328	merged_IS
J139	3409126	3410178	NA
J139	3421906	3422958	NA
J139	3432886	3433938	NA
J139	3440976	3442028	NA
J139	3445417	3446463	NA
J139	3454491	3455543	NA
J139	3458920	3459972	NA
J139	3521672	3522724	NA
J139	3541636	3542688	NA
J139	3557534	3558586	NA
J139	3565468	3566520	NA
J139	3574564	3575616	NA
J139	3618300	3619350	NA
J139	3620903	3621954	NA
J139	3632679	3633731	NA
J139	3640022	3641068	NA
J139	3655804	3656856	NA
J139	3673873	3674925	NA
J139	3676213	3677265	NA
J139	3686928	3687979	NA
J139	3698689	3699741	NA
J139	3712926	3713978	NA
J139	3725776	3727877	merged_IS
J139	3765004	3766056	NA
J139	3801055	3802107	NA
J139	3846000	3848097	merged_IS
J139	3860239	3861291	NA
J139	3870675	3871727	NA
J139	3873986	3875038	NA
J139	3895106	3896158	NA
J139	3897221	3898267	NA
J139	3910037	3911089	NA
J139	3926847	3927894	NA
J139	3929980	3931031	NA
J139	3966503	3967555	NA
J139	3983532	3984584	NA
J139	4057528	4058579	NA
J139	4066068	4067120	NA
J139	4094974	4096026	NA
J139	4146406	4146676	NA
J139	4169294	4170346	NA
J139	4174709	4176810	merged_IS
J139	4210050	4211102	NA
J139	4221775	4222826	NA
J085	27283	28335	NA
J085	34524	35576	NA
J085	43562	44614	NA
J085	50040	51092	NA
J085	57498	58550	NA
J085	68984	70036	NA
J085	77635	78687	NA
J085	79374	79604	NA
J085	107428	108480	NA
J085	121123	122175	NA
J085	135158	136205	NA
J085	164894	165946	NA
J085	174200	175252	NA
J085	194304	195356	NA
J085	205534	206586	NA
J085	224454	225506	NA
J085	233235	234286	NA
J085	235320	236372	NA
J085	265471	266523	NA
J085	277140	278191	NA
J085	285972	287024	NA
J085	300551	301603	NA
J085	301967	303019	NA
J085	330281	331333	NA
J085	354917	355969	NA
J085	365303	366350	NA
J085	390856	391903	NA
J085	401054	402101	NA
J085	412385	413437	NA
J085	421050	422096	NA
J085	430220	431271	NA
J085	447414	449515	merged_IS
J085	465800	466852	NA
J085	475170	476217	NA
J085	522404	523456	NA
J085	552459	553511	NA
J085	562887	563939	NA
J085	589268	590320	NA
J085	619651	620703	NA
J085	635742	636794	NA
J085	648595	649647	NA
J085	665121	666173	NA
J085	677189	678240	NA
J085	681025	682077	NA
J085	688373	689425	NA
J085	719169	720216	NA
J085	734904	735956	NA
J085	747142	748194	NA
J085	751199	752251	NA
J085	757252	758304	NA
J085	761120	762172	NA
J085	776334	777380	NA
J085	813731	814783	NA
J085	819318	820370	NA
J085	852919	853966	NA
J085	860753	861805	NA
J085	901227	902279	NA
J085	911790	912842	NA
J085	933488	934540	NA
J085	937191	938244	NA
J085	951646	952698	NA
J085	966895	967941	NA
J085	1004292	1005344	NA
J085	1009879	1010931	NA
J085	1043480	1044527	NA
J085	1051314	1052366	NA
J085	1091788	1092840	NA
J085	1102351	1103403	NA
J085	1124049	1125101	NA
